번호	recipeName	ingredients
331	해초갈비찜	찜갈비 마른미역줄기 감자 양파 청고추 홍고추 대추 당근 메추리 양념장 맛간장 생강청 후추 참기름 올리고당 통깨
332	버섯곤드레밥	쌀 건곤드레 느타리버섯 참기름 비빔장 두부 된장 참기름 통깨
333	바다향이 풍부한 전복죽	전복 당근 건조미역 찹쌀 흑임자 참기름 청주 흰후추
334	주꾸미연포탕	주꾸미 무 양파 대파 미나리 단호박 청고추 국물 해물육수 청양고추 마늘 흰후추
335	함초소고기말이	쇠고기구이용 마늘 홍고추 양파 함초 무순 노란색파프리카 소스 마늘기름 맛간장 허브식초 연겨자 버섯마늘소금
336	묵계밥	도토리묵 올방개묵 검정깨묵 각각 귀리밥 계란 콩나물 국물 닭가슴살 마늘 대파 양파 맛간장 흰후추 버섯마늘소금
337	근채류주먹밥	우엉 연근 감자 청고추 양파 당근 쌀 오이 통깨 맛간장 참기름 마늘기름 함초소금
338	단호박약식	미니 단호박 찹쌀 밤 대추 크린베리 양념장 맛간장 참기름 계피가루
339	달콤스테이크	소 채끝살 감자 시금치 당근 소스 레드와인 cc 망고 딸기잼 볶은소금 후추 무염버터 설탕 레몬즙
340	불고기덮밥	쌀밥 소불고기 양파 청고추 홍고추 팽이버섯 계란 쪽파 마늘기름 통깨 양념장 맛간장 생강청 흰후추 참기름
341	바비큐리조또	통삼겹 조림장 맛간장 통후추 발사믹식초 흰후추 청국장리조뜨 밥 청국장가루 야채육수 감자 올리브오일 영양부추 곁들이채소 적양배추 사과 마늘 올리브오일
342	간편콩국수	메밀면 백일송이 마늘기름 통깨 볶은소금 고명 애호박 양파 청고추 홍고추 국물 두유 두부
343	듬해물찜	전복 자숙새우 소라살 마늘 대파 청고추 홍고추 홍피망 양파 양념장 멕시코고추 맛간장 올리고당 참기름 흰후추 물
344	크렌베리귀리밥	백미 크렌베리 귀리
345	블루베리냉스프	검은콩두유 꿀 딸기 블루베리 저지방우유 볶은현미 바나나 고명 브로콜리 라이스페이퍼 건조체리
346	토마토제철나물 샐러드	영양부추 치커리 적양배추 배추 방울토마토 양파 두부크루통 두부 식용유 소스 마늘 참깨 흑임자 꿀 참기름 맛간장 레몬즙 식초
347	브로콜리스프	닭육수 양송이버섯 브로콜리 생크림 함초소금 고명 바케트 청양고추버터 청양고추 버터 방울토마토 설탕
348	초계샐러드	닭가슴살 달걀 오이 피망 파프리카 시금치 소스 잣 식초 연겨자 설탕 참깨 흰후추 고명 대추
349	토마토맑은장국	방울토마토 시금치 배추 팽이버섯 육수 닭육수 양념 일식된장
350	매생이찰범벅	우유 매생이 찹쌀 단호박 밤 녹차소금 멸치육수
351	통삼겹맥적구이	통삼겹 닭육수 구이소스 저염된장 꿀 청주 참기름 통깨 샐러드 수삼 배추 당근 샐러드소스 식초 참기름 맛간장
352	닭가슴살샌드스테이크	닭가슴살 시금치 양파 콜리플라워 브로콜리 양송이 방울토마토 닭육수 버터 흰후추 올리브오일 소스 버터 꿀 오렌지주스 레몬즙 흰후추
